age,satisfaction_level,years_at_company,attrition
26,0.6947381064693257,19,0
24,0.5977013073327626,17,0
22,0.6377282763687371,13,1
59,0.8054492980769757,1,0
36,0.5328134483040864,8,0
55,0.1366786954832255,4,0
56,0.24759953289054754,19,0
46,0.4947464948405845,0,1
45,0.7523439038866525,2,0
33,0.6339507834791609,5,0
39,0.6852647672861085,4,1
36,0.5313510357186586,4,1
37,0.6541678197480185,0,1
48,0.396115694033196,16,0
29,0.5231643334269985,18,0
46,0.7698511590354601,13,1
38,0.8846495010758091,11,1
50,0.49028980056075,9,1
29,0.13929549193662508,19,1
36,0.2455052897321224,17,1
48,0.1187750253623843,10,1
28,0.6879367173135971,1,0
24,0.399083162819598,17,0
50,0.5882307721474308,6,0
45,0.5439491621054197,14,1
24,0.17337384059718403,10,1
41,0.4629352250114487,17,1
36,0.298505012430091,11,1
46,0.4765598098008874,5,1
51,0.2832204523080184,19,1
35,0.8564071656492401,12,0
28,0.2567740029204283,19,0
38,0.9647024963382792,15,1
41,0.47431662953224674,17,0
57,0.8616207628171444,9,1
30,0.6658883363853506,7,0
59,0.7618152687991774,17,1
43,0.7909514992601022,0,1
23,0.554360393703716,7,0
45,0.5889704710269595,5,0
29,0.5625962810278525,4,1
32,0.6292525402810712,14,1
34,0.12645500118085656,14,0
38,0.4559636528641138,1,0
29,0.6455698422050544,0,1
42,0.6379512087302779,10,0
39,0.8136604851450684,9,1
51,0.6895084049488976,17,1
39,0.9929199847066051,17,1
52,0.3554690757477805,16,1
59,0.4232359266996083,7,0
53,0.4454624366810167,14,0
32,0.5192315263182237,7,0
46,0.8523982574030885,16,0
54,0.3122128845632889,11,0
59,0.7984001863318866,7,0
29,0.4647791647771691,13,0
32,0.6416698452958076,3,1
43,0.6692864799036755,0,0
45,0.43556377347004105,0,0
38,0.5613536846852246,18,1
33,0.4717280571829273,15,0
53,0.1622195075679575,13,0
36,0.49344884993514393,15,1
37,0.18765405329819695,4,0
43,0.4645187191722894,8,0
49,0.6336265598486036,1,0
41,0.6214734094091506,17,1
54,0.6963591511074884,5,0
31,0.18573535715916367,8,0
53,0.686910920977394,0,1
54,0.3809332510268024,8,0
23,0.45914135152339997,15,1
54,0.8721876285304352,12,1
54,0.10812736371659523,8,0
34,0.629571370006545,12,1
51,0.6388425820900968,8,1
54,0.45699379870920576,10,0
34,0.31332507139750254,3,1
47,0.311206634435396,1,1
43,0.8953387026946773,5,0
23,0.49782193640457184,13,0
59,0.3978004266902547,3,0
47,0.5038998164482628,5,1
36,0.7024513613134252,18,0
55,0.23118091142027652,5,1
32,0.504490451692364,1,1
24,0.6290959339993483,17,1
27,0.9537250193662904,12,1
30,0.32727500386787733,8,1
27,0.423325673124621,18,1
30,0.44142273093018136,12,1
52,0.6449843418803946,10,0
53,0.42105884773600155,0,0
33,0.580160732769726,6,1
29,0.8036112968605265,14,1
29,0.7348470347009832,0,0
49,0.501731781861327,11,1
41,0.877794559906752,6,0
28,0.6023262246344766,14,0
